1736781011.502040	0932	5	65535	1	8	4	224	-1	-1	4	0	-1	0	8	2	1	0	14	0020
1736781011.517236	0934	2	59320	1	16	75	42000	22920	19080	7	0	1	3	0	3	1	0	45	7ffffda01d08
1736781011.518326	0934	3	59320	1	16	75	44304	22920	21384	7	1	0	6	0	3	1	1	45	7ffff3211e08
1736781011.519314	0934	4	59320	1	16	75	42000	22920	19080	7	1	0	7	0	3	1	2	45	7fffffa11c08
1736781011.520423	0934	5	65535	1	8	4	224	-1	-1	4	0	-1	0	12	2	2	1	14	0020
1736781011.520423	0934	5	59320	1	15	59	32256	16992	15264	7	0	0	1	24	3	2	3	45	3bbbf09e1c08
1736781011.521583	0934	6	59320	1	16	75	44304	22920	21384	7	1	1	0	0	3	1	4	45	7ffff4211f08
1736781011.522298	0934	7	59320	1	16	75	44304	22920	21384	7	1	1	5	0	3	1	5	45	7ffffaa11f08
1736781011.523302	0934	8	59320	1	16	75	44304	22920	21384	7	1	1	2	0	3	1	6	45	7ffffd211f08
1736781011.524276	0934	9	65534	1	1	4	56	-1	-1	4	0	-1	0	12	2	2	0	14	0004
1736781011.524276	0934	9	59320	1	15	59	32256	16992	15264	7	1	0	4	16	3	2	7	45	3bbbf21f1c08
1736781011.525542	0935	0	59320	1	14	75	38160	19080	19080	7	1	1	3	32	3	2	8	45	7ffff19d1d88
1736781011.526895	0935	1	59320	1	0	75	0	0	0	7	0	0	6	8	3	2	9	45	7ffff7015e90
1736781011.528492	0935	2	59320	1	0	75	0	0	0	7	0	0	7	16	3	2	10	45	7ffffb815c90
1736781011.529737	0935	3	59320	1	0	59	0	0	0	7	0	0	1	32	3	2	11	45	57f9fc805c90
1736781011.532512	0935	5	59320	1	0	75	0	0	0	7	1	1	5	24	3	2	12	45	7ffffe815f90
1736781011.533736	0935	6	59320	1	0	75	0	0	0	7	1	1	2	32	3	2	13	45	7ffff1015f90
1736781011.535087	0935	7	59320	1	0	59	0	0	0	7	0	0	4	8	3	2	14	45	57f9f6015c90
1736781011.539372	0936	0	65535	1	4	4	136	-1	-1	4	0	-1	0	12	2	2	2	14	0010
1736781011.547176	0936	5	65535	1	8	4	224	-1	-1	4	0	-1	0	12	2	3	3	14	0020
1736781011.565412	0938	5	65535	1	8	4	224	-1	-1	4	0	-1	0	8	2	1	4	14	0020
1736781011.572047	0939	6	59320	1	12	12	5520	2408	3112	7	0	0	3	32	3	2	15	45	009809981c08
1736781011.573400	0939	7	59320	1	12	71	25176	14112	11064	7	0	1	6	8	3	2	16	45	7fffbf181308
1736781011.575072	0939	8	59320	1	12	75	28224	15264	12960	7	0	1	7	24	3	2	17	45	7ffff3981708
1736781011.576428	0939	9	59320	1	11	75	24792	12960	11832	7	1	1	1	16	3	2	18	45	7ffffc971308
1736781011.577603	0940	0	59320	1	11	75	24792	12960	11832	7	0	0	0	32	3	2	19	45	7ffffc161208
1736781011.579082	0940	1	59320	1	12	75	28224	15264	12960	7	0	0	5	8	3	2	20	45	7ffff2981608
1736781011.580593	0940	2	59320	1	12	75	28224	15264	12960	7	0	0	2	16	3	2	21	45	7ffff5181608
1736781011.581853	0940	3	34689	1	27	11	6968	-1	-1	2	0	-1	0	8	2	2	0	33	eaefcd8280
1736781011.581853	0940	3	59320	1	12	75	28224	15264	12960	7	0	1	4	32	3	2	22	45	7ffffa181708
1736781011.583320	0940	4	59320	1	12	75	28224	15264	12960	7	1	1	3	24	3	2	23	45	7ffffd991708
1736781011.584795	0940	5	65535	1	8	4	224	-1	-1	4	0	-1	0	12	2	2	5	14	0020
1736781011.584795	0940	5	59320	1	12	59	22128	11832	10296	7	1	0	6	24	3	2	24	45	3bbbf3191608
1736781011.586266	0940	6	59320	1	12	75	28224	15264	12960	7	1	0	7	32	3	2	25	45	7ffff7991608
1736781011.587967	0940	7	59320	1	12	75	28224	15264	12960	7	0	0	1	8	3	2	26	45	7ffff8981608
1736781011.589716	0940	8	59320	1	12	75	28224	15264	12960	7	1	1	0	24	3	2	27	45	7ffffc191708
1736781011.591056	0940	9	59320	1	12	75	28224	15264	12960	7	1	1	5	16	3	2	28	45	7ffff2991708
1736781011.592662	0941	0	59320	1	11	75	24792	12960	11832	7	1	1	2	32	3	2	29	45	7ffff1171308
1736781011.594053	0941	1	59320	1	11	16	6032	2792	3240	7	1	0	4	8	3	2	30	45	01980e171808
1736781011.606736	0942	5	65535	1	8	4	224	-1	-1	4	0	-1	0	8	2	1	6	14	0020
1736781011.616633	0944	1	65535	1	12	8	328	-1	-1	4	0	-1	0	8	2	1	7	14	0830
1736781011.620452	0944	5	65535	1	8	4	224	-1	-1	4	0	-1	0	8	2	1	8	14	0020
1736781011.624265	0944	9	65534	1	1	4	56	-1	-1	4	0	-1	0	8	2	1	1	14	0004
